fotonik3d_s-1176B,0.22
xalancbmk_s-700B,0.16
bwaves_s-3699B,0.49
roms_s-842B,0.39
exchange2_s-1699B,0.68
omnetpp_s-874B,0.17
x264_s-18B,0.26
wrf_s-575B,0.21
leela_s-800B,0.81
cam4_s-573B,0.43
pop2_s-17B,0.69
xz_s-3167B,0.81
nab_s-5853B,0.63
lbm_s-4268B,0.32
mcf_s-665B,0.63
deepsjeng_s-928B,0.79
gcc_s-734B,0.30
cactuBSSN_s-2421B,0.64
perlbench_s-210B,0.35
imagick_s-10316B,0.26
